user_id,event_timestamp,step,source,target
40607414004080988191742454825328|45147146https://staffing.epam.com/positions/797635261/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000569245&position=797635261,1742454959557,1,Employee widget#Candidate summary - Show less ,Employee widget#Candidate summary - Show more 
40007414000110620801742466832552|1369243530https://staffing.epam.com/positions/788731588/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8400000000021328674&position=788731588,1742466965670,1,Employee widget#Past projects - Show less ,
40607414003647241771742470548383|265942956https://staffing.epam.com/positions/789706139/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000469600&position=789706139,1742471110955,3,Employee widget#Search skill - Employee sidebar,
40007414000110620801742375526118|740181837https://staffing.epam.com/positions/788731581/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000007059225&position=788731581,1742486671521,1,Employee widget#Past projects - Show less ,
87600000000000488501742469930701|684238194https://staffing.epam.com/positions/799090719/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4000741400014235141&position=799090719,1742470185332,1,Employee widget#proposal_feedback_card,
40607414000078091801742192395182|978246002https://staffing.epam.com/positions/706845054/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400005220786&position=706845054,1742192587782,2,Employee widget#proposal_feedback_card,
40607414003883710721742469520504|1129754960https://staffing.epam.com/positions/732193869/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=4060741400351346622&position=732193869,1742479637869,2,Employee widget#proposal_feedback_card,Employee widget#interview_card
40607414003647241771742462813605|1201294659https://staffing.epam.com/positions/789706139/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000469600&position=789706139,1742489678717,3,Employee widget#Search skill - Employee sidebar,
40607414003355271691742455701016|753575601https://staffing.epam.com/positions/763723988/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000007482740&position=763723988,1742456176433,2,Employee widget#Level - Employee sidebar,Employee widget#open#Expand skill group - Employee sidebar
40607414003355271691742455701016|753575601https://staffing.epam.com/positions/763723988/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000007482740&position=763723988,1742456184816,4,Employee widget#Search skill - Employee sidebar,Employee widget#Menu - matchAndSkillsCandidateWidgetTab
40607414003355271691742454571332|887868026https://staffing.epam.com/positions/783129848/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000169831&position=783129848,1742455094156,3,Employee widget#click email icon,
40607414000054331971742420471745|1174426881https://staffing.epam.com/positions/799652447/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000117567&position=799652447,1742421142022,1,Employee widget#Candidate summary - Show less ,Employee widget#Candidate summary - Show more 
40607414000374545281742367291351|366739993https://staffing.epam.com/positions/801060067/proposals?utm_source=trigger&utm_medium=referral&utm_campaign=employee_summary_link&utm_content=copied_link&widget=true&employee=8760000000000167377&position=801060067,1742367832880,2,Employee widget#Candidate summary - Show less ,
